"Tipo Instrumento" "Nombre" "Fecha op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre min" "Pre max" "Pre prom" "Cupon" "Frecuencia" "Rendimiento"
"158" "VEBONO" "VEBONO032035" 2018-03-16 "022 BCV" "DPBS02909-0044" 2035-03-15 6208 2 1e+09 123.0156 123.0469 123.03125 13.47 4 10.5349358462712
"159" "TIF" "TIF092035" 2018-03-16 "022 BCV" "DPBS02909-0035" 2035-09-27 6404 2 1e+09 123.0156 123.0469 123.03125 13.75 4 10.8066191508168
"160" "VEBONO" "VEBONO122036" 2018-03-16 "022 BCV" "DPBS02909-0053" 2036-12-04 6838 2 2e+09 124.0156 124.0313 124.02345 13.37 4 10.4284951765214
"161" "Valores Fin." "Valores Fin.072022" 2018-03-16 "022 BCV" "VFBS00722-0010" 2022-07-22 1589 4 97258310000 105.5313 105.5626 105.54695 10 2 8.4380863219975
"162" "VEBONO" "VEBONO012020" 2018-03-20 "022 BCV" "DPBS08771-0018" 2020-01-02 653 1 178142275 120.8144 120.8144 120.8144 14.37 4 2.4261379546977
"163" "VEBONO" "VEBONO062020" 2018-03-20 "022 BCV" "DPBS08771-0027" 2020-06-18 821 1 1500000 127.5 127.5 127.5 14.37 4 1.8301683775257
"164" "TIF" "TIF022021" 2018-03-20 "022 BCV" "DPBS09345-0014" 2021-02-04 1052 1 1.3e+08 133.2344 133.2344 133.2344 16.5 4 4.18545392035146
"165" "VEBONO" "VEBONO082037" 2018-03-20 "022 BCV" "DPBS02909-0071" 2037-08-06 7079 1 1.55e+08 120 120 120 13.17 4 10.7135178702422
"166" "LETRA" "LTB042018" 2018-03-20 "022 BCV" "LTBS00418-0025" 2018-04-04 15 1 1.05e+08 99.9 99.9 99.9 0 0 2.40240240240208
"167" "LETRA" "LTB122018" 2018-03-20 "022 BCV" "LTBS01218-0015" 2018-12-19 274 1 1.05e+08 99 99 99 0 0 1.32714001327141
"168" "VEBONO" "VEBONO012020" 2018-03-21 "022 BCV" "DPBS08771-0018" 2020-01-02 652 1 178142275 120.83 120.83 120.83 14.37 4 2.40193492371272
"169" "VEBONO" "VEBONO062020" 2018-03-21 "022 BCV" "DPBS08771-0027" 2020-06-18 820 1 1500000 127.5313 127.5313 127.5313 14.37 4 1.80465638578173
"170" "TIF" "TIF022021" 2018-03-21 "022 BCV" "DPBS09345-0014" 2021-02-04 1051 1 1.3e+08 133.25 133.25 133.25 16.5 4 4.17113611021627
"171" "VEBONO" "VEBONO032034" 2018-03-21 "022 BCV" "DPBS02911-0012" 2034-03-30 5853 2 290698000 124.0156 124.0469 124.03125 13.57 4 10.4615010365267
"172" "TIF" "TIF092034" 2018-03-21 "022 BCV" "DPBS02909-0017" 2034-09-21 6028 2 308262000 124.5156 124.5469 124.53125 14 4 10.7910915176049
"173" "TIF" "TIF052036" 2018-03-21 "022 BCV" "DPBS02909-0062" 2036-05-22 6637 2 1378948000 123.0156 123.0313 123.02345 13.5 4 10.6291150599366
"174" "TIF" "TIF012037" 2018-03-21 "022 BCV" "DPBS02909-0080" 2037-01-29 6889 2 5e+08 119.2656 119.2969 119.28125 13.25 4 10.8380910590133
"175" "VEBONO" "VEBONO082037" 2018-03-21 "022 BCV" "DPBS02909-0071" 2037-08-06 7078 3 655500000 120.0313 120.5469 120.413031464531 13.17 4 10.669787036121
"176" "LETRA" "LTB042018" 2018-03-21 "022 BCV" "LTBS00418-0025" 2018-04-04 14 1 1.05e+08 99.9312999999999 99.9313 99.9312999999999 0 0 1.7677858974857
"177" "LETRA" "LTB122018" 2018-03-21 "022 BCV" "LTBS01218-0015" 2018-12-19 273 1 1.05e+08 99.0313 99.0313 99.0313 0 0 1.28990187284888
"178" "TIF" "TIF092035" 2018-03-26 "022 BCV" "DPBS02909-0035" 2035-09-27 6394 1 3e+09 111.5 111.5 111.5 13.75 4 12.1560205136084
"179" "TIF" "TIF052036" 2018-03-26 "022 BCV" "DPBS02909-0062" 2036-05-22 6632 1 3e+09 111.5 111.5 111.5 13.5 4 11.9459991810632
"180" "Valores Fin." "Valores Fin.092022" 2018-03-26 "022 BCV" "VFBS00922-0018" 2022-09-22 1641 1 6.461e+09 104.75 104.75 104.75 10 2 8.67232395318047
"181" "Valores Fin." "Valores Fin.122022" 2018-03-26 "022 BCV" "VFBS01222-0012" 2022-12-22 1732 1 3.426e+09 104.75 104.75 104.75 10 2 8.73415472350239
"182" "Valores Fin." "Valores Fin.082022" 2018-03-27 "022 BCV" "VFBS00822-0019" 2022-08-23 1610 1 1e+08 106.1 106.1 106.1 10 2 8.30928406358034
"183" "Valores Fin." "Valores Fin.092022" 2018-03-27 "022 BCV" "VFBS00922-0018" 2022-09-22 1640 2 6.561e+09 104.7656 106 104.784414205152 10 2 8.6623880030217
"184" "Valores Fin." "Valores Fin.122022" 2018-03-27 "022 BCV" "VFBS01222-0012" 2022-12-22 1731 2 5.826e+09 104.7656 106.5 105.48007991761 10 2 8.54873329538068
"185" "Valores Fin." "Valores Fin.072022" 2018-03-28 "022 BCV" "VFBS00722-0010" 2022-07-22 1577 1 1e+09 106.75 106.75 106.75 10 2 8.10367659199018
"186" "Valores Fin." "Valores Fin.082022" 2018-03-28 "022 BCV" "VFBS00822-0019" 2022-08-23 1609 2 2e+08 106.1313 106.1626 106.14695 10 2 8.29588427093655
"187" "Valores Fin." "Valores Fin.092022" 2018-03-28 "022 BCV" "VFBS00922-0018" 2022-09-22 1639 2 2e+08 106.0313 106.0626 106.04695 10 2 8.32911474702502
"188" "Valores Fin." "Valores Fin.122022" 2018-03-28 "022 BCV" "VFBS01222-0012" 2022-12-22 1730 2 4.8e+09 106.5313 106.5626 106.54695 10 2 8.28068385023903
"189" "TIF" "TIF042023" 2018-04-03 "022 BCV" "DPBS09345-0050" 2023-04-06 1829 1 2e+08 118 118 118 16 4 11.2494784851312
"190" "VEBONO" "VEBONO042024" 2018-04-03 "022 BCV" "DPBS09347-0012" 2024-04-18 2207 1 4e+08 118.25 118.25 118.25 14.87 4 10.7251743428627
"191" "VEBONO" "VEBONO032027" 2018-04-03 "022 BCV" "DPBS00760-0061" 2027-03-11 3264 1 3068872787 120.25 120.25 120.25 15.07 4 11.4105692585112
"192" "Valores Fin." "Valores Fin.072022" 2018-04-03 "022 BCV" "VFBS00722-0010" 2022-07-22 1571 1 7871398000 101.85 101.85 101.85 10 2 9.45113885271578
"193" "Valores Fin." "Valores Fin.082022" 2018-04-03 "022 BCV" "VFBS00822-0019" 2022-08-23 1603 1 4e+10 101.85 101.85 101.85 10 2 9.46237697323546
"194" "Valores Fin." "Valores Fin.092022" 2018-04-03 "022 BCV" "VFBS00922-0018" 2022-09-22 1633 1 4e+10 101.85 101.85 101.85 10 2 9.45135156408949
"195" "Valores Fin." "Valores Fin.032024" 2018-04-03 "022 BCV" "VFBS00324-0012" 2024-03-26 2184 1 9.781e+09 106.55 106.55 106.55 10 2 8.55498926499738
"196" "VEBONO" "VEBONO062032" 2018-04-05 "022 BCV" "DPBS02207-0052" 2032-06-17 5187 1 183600000 127.9905 127.9905 127.9905 13.97 4 10.2050713519214
"197" "VEBONO" "VEBONO062032" 2018-04-06 "022 BCV" "DPBS02207-0052" 2032-06-17 5186 1 183600000 128.0061 128.0061 128.0061 13.97 4 10.2030277059861
"198" "Valores Fin." "Valores Fin.032024" 2018-04-10 "022 BCV" "VFBS00324-0012" 2024-03-26 2177 1 2e+10 103 103 103 10 2 9.30752830406147
"199" "Valores Fin." "Valores Fin.032024" 2018-04-11 "022 BCV" "VFBS00324-0012" 2024-03-26 2176 2 4e+10 103.0156 103.0469 103.03125 10 2 9.30036350348935
"200" "TIF" "TIF082018" 2018-04-12 "022 BCV" "DPBS08773-0034" 2018-08-23 133 1 10492000 105.0193 105.0193 105.0193 16 4 2.22750531990172
"201" "VEBONO" "VEBONO012021" 2018-04-12 "022 BCV" "DPBS08772-0017" 2021-01-29 1023 1 30970000 125.6257 125.6257 125.6257 14.62 4 4.7773207417495
"202" "TICC" "TICC032019" 2018-04-12 "022 BCV" "DPUS05187-0014" 2019-03-21 343 3 3511000 100 100.0625 100.009096411279 5.25 2 5.17306498945649
"203" "TIF" "TIF082018" 2018-04-13 "022 BCV" "DPBS08773-0034" 2018-08-23 132 1 10492000 105.0349 105.0349 105.0349 16 4 2.08504224476043
"204" "VEBONO" "VEBONO012021" 2018-04-13 "022 BCV" "DPBS08772-0017" 2021-01-29 1022 1 30970000 125.6413 125.6413 125.6413 14.62 4 4.76415128216434
"205" "LETRA" "LTB072018" 2018-04-17 "022 BCV" "LTBS00718-0013" 2018-07-18 92 1 1.05e+08 99.0313 99.0313 99.0313 0 0 3.82764360095375
"206" "TICC" "TICC032019" 2018-04-18 "022 BCV" "DPUS05187-0014" 2019-03-21 337 1 1680000 100 100 100 5.25 2 5.18087309030046
"207" "TICC" "TICC032019" 2018-04-23 "022 BCV" "DPUS05187-0014" 2019-03-21 332 2 7e+05 100 100 100 5.25 2 5.17911540968701
"208" "VEBONO" "VEBONO082037" 2018-04-25 "022 BCV" "DPBS02909-0071" 2037-08-06 7043 1 125125000 120.85 120.85 120.85 13.17 4 10.6211492921819
"209" "TIF" "TIF092035" 2018-04-26 "022 BCV" "DPBS02909-0035" 2035-09-27 6363 1 3e+09 114 114 114 13.75 4 11.8316751866413
"210" "TIF" "TIF052036" 2018-04-26 "022 BCV" "DPBS02909-0062" 2036-05-22 6601 1 2e+09 114 114 114 13.5 4 11.6397309603872
"211" "TIF" "TIF052036" 2018-04-27 "022 BCV" "DPBS02909-0062" 2036-05-22 6600 1 689474000 125 125 125 13.5 4 10.4179542868475
"212" "VEBONO" "VEBONO122036" 2018-04-27 "022 BCV" "DPBS02909-0053" 2036-12-04 6796 1 664196000 125 125 125 13.37 4 10.3230517989093
"213" "TIF" "TIF012037" 2018-04-27 "022 BCV" "DPBS02909-0080" 2037-01-29 6852 1 2.5e+08 123 123 123 13.25 4 10.4420406311045
"214" "VEBONO" "VEBONO082037" 2018-04-27 "022 BCV" "DPBS02909-0071" 2037-08-06 7041 1 250250000 123.5 123.5 123.5 13.17 4 10.3477391092197
"215" "Valores Fin." "Valores Fin.032024" 2018-04-27 "022 BCV" "VFBS00324-0012" 2024-03-26 2160 1 1.9167e+10 103.75 103.75 103.75 10 2 9.13809736491356
"216" "VEBONO" "VEBONO062032" 2018-04-30 "022 BCV" "DPBS02207-0052" 2032-06-17 5162 1 2e+07 137 137 137 13.97 4 9.24266980378992
"217" "VEBONO" "VEBONO072033" 2018-04-30 "022 BCV" "DPBS02209-0014" 2033-07-21 5561 1 5e+07 137 137 137 13.97 4 9.37679493240786
"218" "VEBONO" "VEBONO032034" 2018-04-30 "022 BCV" "DPBS02911-0012" 2034-03-30 5813 1 145349000 125 125 125 13.57 4 10.3403281603804
"219" "TIF" "TIF092034" 2018-04-30 "022 BCV" "DPBS02909-0017" 2034-09-21 5988 1 154131000 125 125 125 14 4 10.7316910428052
"220" "VEBONO" "VEBONO032035" 2018-04-30 "022 BCV" "DPBS02909-0044" 2035-03-15 6163 1 5e+07 125 125 125 13.47 4 10.3168921940155
"221" "TIF" "TIF092035" 2018-04-30 "022 BCV" "DPBS02909-0035" 2035-09-27 6359 1 5e+07 125 125 125 13.75 4 10.5812691148878
"222" "TIF" "TIF052036" 2018-04-30 "022 BCV" "DPBS02909-0062" 2036-05-22 6597 2 1.2e+09 125.0156 125.0313 125.02345 13.5 4 10.4151965531388
"223" "VEBONO" "VEBONO122036" 2018-04-30 "022 BCV" "DPBS02909-0053" 2036-12-04 6793 2 1.2e+09 125.0156 125.0313 125.02345 13.37 4 10.3203186270768
"224" "TIF" "TIF012037" 2018-04-30 "022 BCV" "DPBS02909-0080" 2037-01-29 6849 2 4e+08 123.0156 123.0313 123.02345 13.25 4 10.4356858444845
"225" "VEBONO" "VEBONO082037" 2018-04-30 "022 BCV" "DPBS02909-0071" 2037-08-06 7038 2 4e+08 123.5156 123.5313 123.52345 13.17 4 10.3451529434326
"226" "VEBONO" "VEBONO032034" 2018-05-03 "022 BCV" "DPBS02911-0012" 2034-03-30 5810 2 290698000 125.0156 125.0469 125.03125 13.57 4 10.3363289305969
"227" "TIF" "TIF092034" 2018-05-03 "022 BCV" "DPBS02909-0017" 2034-09-21 5985 2 308262000 125.0156 125.0469 125.03125 14 4 10.7277407337188
"228" "VEBONO" "VEBONO032035" 2018-05-03 "022 BCV" "DPBS02909-0044" 2035-03-15 6160 2 1e+08 125.0156 125.0469 125.03125 13.47 4 10.313109379454
"229" "TIF" "TIF092035" 2018-05-03 "022 BCV" "DPBS02909-0035" 2035-09-27 6356 2 1e+08 125.0156 125.0469 125.03125 13.75 4 10.577479606612
"230" "TIF" "TIF052036" 2018-05-03 "022 BCV" "DPBS02909-0062" 2036-05-22 6594 1 89474000 125.0156 125.0156 125.0156 13.5 4 10.4156788998171
"231" "VEBONO" "VEBONO122036" 2018-05-03 "022 BCV" "DPBS02909-0053" 2036-12-04 6790 1 64196000 125.0156 125.0156 125.0156 13.37 4 10.3207685600984
"232" "TIF" "TIF012037" 2018-05-03 "022 BCV" "DPBS02909-0080" 2037-01-29 6846 1 5e+07 123.0156 123.0156 123.0156 13.25 4 10.4360083112945
"233" "VEBONO" "VEBONO082037" 2018-05-03 "022 BCV" "DPBS02909-0071" 2037-08-06 7035 1 50250000 123.5156 123.5156 123.5156 13.17 4 10.3457473274347
"234" "Valores Fin." "Valores Fin.042024" 2018-05-04 "022 BCV" "VFBS00424-0011" 2024-04-25 2183 1 2.1e+09 106 106 106 10 2 8.67455560368668
"235" "LETRA" "LTB082018" 2018-05-07 "022 BCV" "LTBS00818-0012" 2018-08-15 100 1 1.05e+08 99 99 99 0 0 3.63636363636366
"236" "LETRA" "LTB082018" 2018-05-08 "022 BCV" "LTBS00818-0012" 2018-08-15 99 1 1.05e+08 99.0313 99.0313 99.0313 0 0 3.55700213421964
"237" "VEBONO" "VEBONO022024" 2018-05-16 "022 BCV" "DPBS00760-0025" 2024-02-22 2108 1 5.16e+08 138 138 138 14.87 4 6.84690170839897
"238" "TICC" "TICC032019" 2018-05-16 "022 BCV" "DPUS05187-0014" 2019-03-21 309 1 26000 102.75 102.75 102.75 5.25 2 1.92167989358225
"239" "VEBONO" "VEBONO012020" 2018-05-17 "022 BCV" "DPBS08771-0018" 2020-01-02 595 1 178142000 120.7832 120.7832 120.7832 14.37 4 1.40711266997355
"240" "VEBONO" "VEBONO112020" 2018-05-17 "022 BCV" "DPBS07328-0013" 2020-11-26 924 1 27857000 115 115 115 11.87 4 5.48157266365212
"241" "TIF" "TIF022021" 2018-05-17 "022 BCV" "DPBS09345-0014" 2021-02-04 994 1 1.3e+08 133.218799999999 133.2188 133.218799999999 16.5 4 3.58809442670545
"242" "TICC" "TICC032019" 2018-05-17 "022 BCV" "DPUS05187-0014" 2019-03-21 308 1 26000 102.8 102.8 102.8 5.25 2 1.85316537027194
"243" "VEBONO" "VEBONO012020" 2018-05-18 "022 BCV" "DPBS08771-0018" 2020-01-02 594 1 178142000 120.8144 120.8144 120.8144 14.37 4 1.37024191034945
"244" "TIF" "TIF022021" 2018-05-18 "022 BCV" "DPBS09345-0014" 2021-02-04 993 1 1.3e+08 133.2501 133.2501 133.2501 16.5 4 3.56723394693299
"245" "LETRA" "LTB112018" 2018-05-21 "022 BCV" "LTBS01118-0016" 2018-11-21 184 1 41761000 99.05 99.05 99.05 0 0 1.87652261703575
"246" "LETRA" "LTB112018" 2018-05-22 "022 BCV" "LTBS01118-0016" 2018-11-21 183 1 41761000 99.0813 99.0813 99.0813 0 0 1.82403610825111
"247" "VEBONO" "VEBONO122036" 2018-05-23 "022 BCV" "DPBS02909-0053" 2036-12-04 6770 1 277724000 124.5 124.5 124.5 13.37 4 10.3712704129364
"248" "TICC" "TICC032019" 2018-05-23 "022 BCV" "DPUS05187-0014" 2019-03-21 302 2 726000 99 99.0235 99.01175 5.25 2 6.39856365147979
"249" "VEBONO" "VEBONO122036" 2018-05-24 "022 BCV" "DPBS02909-0053" 2036-12-04 6769 1 277724000 124.5313 124.5313 124.5313 13.37 4 10.3679820621031
"250" "TICC" "TICC032019" 2018-05-24 "022 BCV" "DPUS05187-0014" 2019-03-21 301 3 463000 99.0235 110.0313 101.397614470842 5.25 2 3.45639759676519
"251" "TIF" "TIF022029" 2018-05-28 "022 BCV" "DPBS01632-0020" 2029-02-15 3916 1 1.218e+09 122.5 122.5 122.5 15.5 4 11.7642403789384
"252" "VEBONO" "VEBONO122036" 2018-05-28 "022 BCV" "DPBS02909-0053" 2036-12-04 6765 1 1.215e+09 108 108 108 13.37 4 12.261103239222
"253" "TIF" "TIF012037" 2018-05-29 "022 BCV" "DPBS02909-0080" 2037-01-29 6820 1 1.25e+08 121.55 121.55 121.55 13.25 4 10.585067111003
"254" "LETRA" "LTB092018" 2018-05-29 "022 BCV" "LTBS00918-0011" 2018-09-19 113 1 1.05e+08 99 99 99 0 0 3.21802091713598
"255" "VEBONO" "VEBONO032034" 2018-05-30 "022 BCV" "DPBS02911-0012" 2034-03-30 5783 2 2e+08 125.75 125.7656 125.7578 13.57 4 10.2527908771826
"256" "TIF" "TIF092034" 2018-05-30 "022 BCV" "DPBS02909-0017" 2034-09-21 5958 2 2e+08 125.75 125.7656 125.7578 14 4 10.6442750282959
"257" "VEBONO" "VEBONO032035" 2018-05-30 "022 BCV" "DPBS02909-0044" 2035-03-15 6133 2 1e+09 125.75 125.7656 125.7578 13.47 4 10.2327757393457
"258" "TIF" "TIF092035" 2018-05-30 "022 BCV" "DPBS02909-0035" 2035-09-27 6329 2 1e+09 125.75 125.7656 125.7578 13.75 4 10.4970187285071
"259" "TIF" "TIF012037" 2018-05-30 "022 BCV" "DPBS02909-0080" 2037-01-29 6819 1 1.25e+08 121.5813 121.5813 121.5813 13.25 4 10.5816439022072
"260" "LETRA" "LTB092018" 2018-05-30 "022 BCV" "LTBS00918-0011" 2018-09-19 112 1 1.05e+08 99.0313 99.0313 99.0313 0 0 3.14413581506915
"261" "VEBONO" "VEBONO032034" 2018-05-31 "022 BCV" "DPBS02911-0012" 2034-03-30 5782 1 1e+08 125.7813 125.7813 125.7813 13.57 4 10.2500856881028
"262" "TIF" "TIF092034" 2018-05-31 "022 BCV" "DPBS02909-0017" 2034-09-21 5957 1 1e+08 125.7813 125.7813 125.7813 14 4 10.6415776746139
"263" "VEBONO" "VEBONO032035" 2018-05-31 "022 BCV" "DPBS02909-0044" 2035-03-15 6132 1 5e+08 125.7813 125.7813 125.7813 13.47 4 10.2301795524399
"264" "TIF" "TIF092035" 2018-05-31 "022 BCV" "DPBS02909-0035" 2035-09-27 6328 1 5e+08 125.7813 125.7813 125.7813 13.75 4 10.4944201496059
"265" "TIF" "TIF052036" 2018-05-31 "022 BCV" "DPBS02909-0062" 2036-05-22 6566 1 1e+08 125.75 125.75 125.75 13.5 4 10.3254490364792
"266" "VEBONO" "VEBONO122036" 2018-05-31 "022 BCV" "DPBS02909-0053" 2036-12-04 6762 1 1e+08 125.75 125.75 125.75 13.37 4 10.2437259563278
"267" "TIF" "TIF012037" 2018-05-31 "022 BCV" "DPBS02909-0080" 2037-01-29 6818 1 1e+08 124 124 124 13.25 4 10.3307675717827
"268" "VEBONO" "VEBONO082037" 2018-05-31 "022 BCV" "DPBS02909-0071" 2037-08-06 7007 1 5e+07 124 124 124 13.17 4 10.282162044128
"269" "Valores Fin." "Valores Fin.072022" 2018-05-31 "022 BCV" "VFBS00722-0010" 2022-07-22 1513 2 2e+09 106 106.0313 106.01565 10 2 8.24297527187596
"270" "TIF" "TIF052036" 2018-06-05 "022 BCV" "DPBS02909-0062" 2036-05-22 6561 2 2e+08 125.7656 125.7969 125.78125 13.5 4 10.3213470896238
"271" "VEBONO" "VEBONO122036" 2018-06-05 "022 BCV" "DPBS02909-0053" 2036-12-04 6757 2 2e+08 125.7656 125.7969 125.78125 13.37 4 10.2404113783916
"272" "TIF" "TIF012037" 2018-06-05 "022 BCV" "DPBS02909-0080" 2037-01-29 6813 2 2e+08 124.0156 124.0469 124.03125 13.25 4 10.3269077898959
"273" "VEBONO" "VEBONO082037" 2018-06-05 "022 BCV" "DPBS02909-0071" 2037-08-06 7002 2 1e+08 124.0156 124.0469 124.03125 13.17 4 10.2783454173757
"274" "VEBONO" "VEBONO082037" 2018-06-06 "022 BCV" "DPBS02909-0071" 2037-08-06 7001 1 125125000 124 124 124 13.17 4 10.2813602844551
"275" "VEBONO" "VEBONO082037" 2018-06-07 "022 BCV" "DPBS02909-0071" 2037-08-06 7000 1 125125000 124.0313 124.0313 124.0313 13.17 4 10.2780787906722
"276" "Valores Fin." "Valores Fin.052024" 2018-06-07 "022 BCV" "VFBS00524-0010" 2024-05-29 2183 1 1e+09 106.25 106.25 106.25 10 2 8.61697099582308
"277" "LETRA" "LTB062018" 2018-06-11 "022 BCV" "LTBS00618-0014" 2018-06-13 2 1 1.05e+08 99.967 99.967 99.967 0 0 5.94196084707965
"278" "VEBONO" "VEBONO082037" 2018-06-12 "022 BCV" "DPBS02909-0071" 2037-08-06 6995 1 1.55e+08 124 124 124 13.17 4 10.280594116661
"279" "Valores Fin." "Valores Fin.052024" 2018-06-12 "022 BCV" "VFBS00524-0010" 2024-05-29 2178 1 3e+10 104 104 104 10 2 9.09147812659477
"280" "VEBONO" "VEBONO082037" 2018-06-13 "022 BCV" "DPBS02909-0071" 2037-08-06 6994 1 1.55e+08 124.0313 124.0313 124.0313 13.17 4 10.277317738004
"281" "Valores Fin." "Valores Fin.052024" 2018-06-13 "022 BCV" "VFBS00524-0010" 2024-05-29 2177 2 6e+10 104.0156 104.0469 104.03125 10 2 9.08432664900882
"282" "Valores Fin." "Valores Fin.042024" 2018-06-14 "022 BCV" "VFBS00424-0011" 2024-04-25 2142 1 3e+10 105 105 105 10 2 8.86586173508217
"283" "TICC" "TICC032019" 2018-06-14 "022 BCV" "DPUS05187-0014" 2019-03-21 280 2 240000 110 110.0313 110.01565 5.25 2 -7.14409236711215
"284" "Valores Fin." "Valores Fin.042024" 2018-06-15 "022 BCV" "VFBS00424-0011" 2024-04-25 2141 2 6e+10 105.0156 105.0469 105.03125 10 2 8.85867476492868
"285" "LETRA" "LTB122018" 2018-06-18 "022 BCV" "LTBS01218-0015" 2018-12-19 184 1 1.05e+08 99.2 99.2 99.2 0 0 1.57784011220196
"286" "LETRA" "LTB122018" 2018-06-19 "022 BCV" "LTBS01218-0015" 2018-12-19 183 1 1.05e+08 99.2313 99.2313 99.2313 0 0 1.52391102536341
"287" "LETRA" "LTB102018" 2018-06-20 "022 BCV" "LTBS01018-0026" 2018-10-03 105 6 4.9985e+11 98.9847 99.13 98.9991907572272 0 0 3.46603436752892
"288" "LETRA" "LTB122018" 2018-06-20 "022 BCV" "LTBS01218-0015" 2018-12-19 182 9 6.5e+11 98.0462 98.35 98.0768153846153 0 0 3.87869592024029
"289" "LETRA" "LTB092018" 2018-06-21 "022 BCV" "LTBS00918-0011" 2018-09-19 90 3 2.5e+11 99.0326 99.0326 99.0326 0 0 3.90740018943259
"290" "TICC" "TICC032019" 2018-06-21 "022 BCV" "DPUS05187-0014" 2019-03-21 273 2 270000 100.0625 100.0625 100.0625 5.25 2 5.07374812370207
"291" "VEBONO" "VEBONO082037" 2018-06-22 "022 BCV" "DPBS02909-0071" 2037-08-06 6985 1 1.55e+08 124.1 124.1 124.1 13.17 4 10.2693260466192
"292" "VEBONO" "VEBONO062020" 2018-06-25 "022 BCV" "DPBS08771-0027" 2020-06-18 724 1 1500000 124.1 124.1 124.1 14.37 4 1.93099775743235
"293" "TIF" "TIF052036" 2018-06-25 "022 BCV" "DPBS02909-0062" 2036-05-22 6541 1 2.98e+09 113 113 113 13.5 4 11.7422236620452
"294" "VEBONO" "VEBONO082037" 2018-06-25 "022 BCV" "DPBS02909-0071" 2037-08-06 6982 1 1.55e+08 124.1156 124.1156 124.1156 13.17 4 10.2674146745945
"295" "LETRA" "LTB092018" 2018-06-27 "022 BCV" "LTBS00918-0020" 2018-09-26 91 2 173181593000 99.0337 99.0337 99.0337 0 0 3.86002469333704
"296" "LETRA" "LTB102018" 2018-06-27 "022 BCV" "LTBS01018-0035" 2018-10-10 105 5 4.5e+11 98.9708 98.9708 98.9708 0 0 3.56538061153966
"297" "VEBONO" "VEBONO052028" 2018-06-28 "022 BCV" "DPBS03454-0019" 2028-05-25 3619 1 4002857000 101.5 101.5 101.5 8.07 4 7.84368043637889
"298" "TIF" "TIF082028" 2018-06-28 "022 BCV" "DPBS03454-0028" 2028-08-10 3696 1 4005714000 101.5 101.5 101.5 8 4 7.77743734716259
"299" "VEBONO" "VEBONO092029" 2018-06-28 "022 BCV" "DPBS03454-0037" 2029-09-13 4095 1 7.5e+09 103.5 103.5 103.5 8.23 4 7.75350171016944
"300" "TIF" "TIF112029" 2018-06-28 "022 BCV" "DPBS03456-0017" 2029-11-01 4144 1 4e+06 103.5 103.5 103.5 8.25 4 7.77612156396419
"301" "VEBONO" "VEBONO032034" 2018-06-28 "022 BCV" "DPBS02911-0012" 2034-03-30 5754 1 145349000 126 126 126 13.57 4 10.2219501306799
"302" "TIF" "TIF092034" 2018-06-28 "022 BCV" "DPBS02909-0017" 2034-09-21 5929 1 154131000 127.5 127.5 127.5 14 4 10.4529159165264
"303" "TIF" "TIF012037" 2018-06-28 "022 BCV" "DPBS02909-0080" 2037-01-29 6790 1 2.5e+08 124.1 124.1 124.1 13.25 4 10.3171255359807
"304" "VEBONO" "VEBONO082037" 2018-06-28 "022 BCV" "DPBS02909-0071" 2037-08-06 6979 1 250250000 124.25 124.25 124.25 13.17 4 10.2535666557589
"305" "Valores Fin." "Valores Fin.052024" 2018-06-28 "022 BCV" "VFBS00524-0010" 2024-05-29 2162 1 13138981000 104.25 104.25 104.25 10 2 9.03077033211743
"306" "TIF" "TIF112029" 2018-06-29 "022 BCV" "DPBS03456-0017" 2029-11-01 4143 2 7.496e+09 101.75 101.75 101.75 8.25 4 8.00693462031798
"307" "VEBONO" "VEBONO032035" 2018-06-29 "022 BCV" "DPBS02909-0044" 2035-03-15 6103 1 1e+08 126 126 126 13.47 4 10.2027754655686
"308" "TIF" "TIF092035" 2018-06-29 "022 BCV" "DPBS02909-0035" 2035-09-27 6299 1 2e+08 127.5 127.5 127.5 13.75 4 10.3126425060507
"309" "TIF" "TIF052036" 2018-06-29 "022 BCV" "DPBS02909-0062" 2036-05-22 6537 1 1e+08 126 126 126 13.5 4 10.2949851133122
"310" "VEBONO" "VEBONO122036" 2018-06-29 "022 BCV" "DPBS02909-0053" 2036-12-04 6733 1 2e+08 126 126 126 13.38 4 10.2226406686462
"311" "LETRA" "LTB102018" 2018-06-29 "022 BCV" "LTBS01018-0035" 2018-10-10 103 4 3e+11 99.149 99.149 99.149 0 0 2.99989806456827
"312" "VEBONO" "VEBONO032034" 2018-07-03 "022 BCV" "DPBS02911-0012" 2034-03-30 5749 2 290698000 126.0156 126.0313 126.02345 13.57 4 10.2188787499351
"313" "TIF" "TIF092034" 2018-07-03 "022 BCV" "DPBS02909-0017" 2034-09-21 5924 2 308262000 127.5156 127.5313 127.52345 14 4 10.4492328650001
"314" "VEBONO" "VEBONO032035" 2018-07-03 "022 BCV" "DPBS02909-0044" 2035-03-15 6099 2 2e+08 126.0156 126.0313 126.02345 13.47 4 10.1994936437536
"315" "TIF" "TIF092035" 2018-07-03 "022 BCV" "DPBS02909-0035" 2035-09-27 6295 2 4e+08 127.5156 127.5313 127.52345 13.75 4 10.3093719782999
"316" "TIF" "TIF052036" 2018-07-03 "022 BCV" "DPBS02909-0062" 2036-05-22 6533 2 2e+08 126.0156 126.0313 126.02345 13.5 4 10.2919772811042
