"Tipo.Instrumento" "Nombre" "Fecha.op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre.min" "Pre.max" "Pre.prom" "Cupon" "Frecuencia" "Rendimiento"
"VEBONO" "VEBONO032027" 2016-05-27 "022 BCV" "DPBS00760-0061" 2027-03-11 3940 2 1.14e+08 122 122 122 16.22 4 12.4672856
"TIF" "TIF032028" 2016-05-27 "022 BCV" "DPBS01632-0011" 2028-03-30 4325 1 7e+07 115.47 115.47 115.47 15.25 4 12.6916328
"VEBONO" "VEBONO042028" 2016-05-27 "022 BCV" "DPBS01632-0039" 2028-04-20 4346 1 4e+07 127.1 127.1 127.1 16.1 4 11.81969948
"TIF" "TIF022029" 2016-05-27 "022 BCV" "DPBS01632-0020" 2029-02-15 4647 1 39500000 114.7 114.7 114.7 15.5 4 13.09622682
"VEBONO" "VEBONO032031" 2016-05-27 "022 BCV" "DPBS02207-0016" 2031-03-13 5403 5 907603000 108.15 114.5938 113.1238086 16.12 4 13.99160316
"TIF" "TIF032031" 2016-05-27 "022 BCV" "DPBS02207-0025" 2031-03-13 5403 4 975399390 111.0313 113.0938 112.2447036 15 4 13.10183704
"TIF" "TIF022032" 2016-05-27 "022 BCV" "DPBS02207-0043" 2032-02-19 5746 8 745897000 100.6563 109.25 108.553855 14.5 4 13.19064502
"TIF" "TIF032032" 2016-05-27 "022 BCV" "DPBS02207-0034" 2032-03-25 5781 2 2.2e+08 112.0313 112.0938 112.06255 15.25 4 13.39044816
"VEBONO" "VEBONO062032" 2016-05-27 "022 BCV" "DPBS02207-0052" 2032-06-17 5865 5 456138000 105.85 109.25 107.5371026 15.1 4 13.90565157
"LETRA" "LTB082016" 2016-05-27 "022 BCV" "LTBS00816-0041" 2016-08-24 89 1 87500000 99.2556 99.2556 99.2556 0 0 3.033638585
"LETRA" "LTB022017" 2016-05-27 "022 BCV" "LTBS00217-0019" 2017-02-15 264 1 3.5e+07 97.7422 97.7422 97.7422 0 0 3.14993747
"LETRA" "LTB052017" 2016-05-27 "022 BCV" "LTBS00517-0016" 2017-05-17 355 1 4.5e+07 96.6638 96.6638 96.6638 0 0 3.499954205
"VEBONO" "VEBONO032019" 2016-05-31 "022 BCV" "DPBS08773-0043" 2019-03-28 1031 3 1.44e+08 128.99 129.0526 129.0213 15.27 4 4.284366806
"VEBONO" "VEBONO012020" 2016-05-31 "022 BCV" "DPBS08771-0018" 2020-01-02 1311 1 78975000 125.1513 125.1513 125.1513 15.5 4 7.434491017
"VEBONO" "VEBONO052021" 2016-05-31 "022 BCV" "DPBS09115-0015" 2021-05-20 1815 3 1.5e+08 122.4 122.4626 122.4313 15.59 4 9.813963003
"VEBONO" "VEBONO052029" 2016-05-31 "022 BCV" "DPBS01632-0057" 2029-05-10 4727 3 121951800 121.1 121.1626 121.1313 16.04 4 12.68051527
"TIF" "TIF022030" 2016-05-31 "022 BCV" "DPBS01632-0048" 2030-02-28 5021 4 515694000 129.7 129.9526 129.748581 15.65 4 11.34117105
"VEBONO" "VEBONO032031" 2016-05-31 "022 BCV" "DPBS02207-0016" 2031-03-13 5399 1 4e+08 112.75 112.75 112.75 16.12 4 14.04599422
"TIF" "TIF032031" 2016-05-31 "022 BCV" "DPBS02207-0025" 2031-03-13 5399 1 175245610 112.8 112.8 112.8 15 4 13.02409802
"TIF" "TIF022032" 2016-05-31 "022 BCV" "DPBS02207-0043" 2032-02-19 5742 2 583997000 109.25 109.5 109.4841395 14.5 4 13.05911905
"TIF" "TIF032032" 2016-05-31 "022 BCV" "DPBS02207-0034" 2032-03-25 5777 1 123039110 112.25 112.25 112.25 15.25 4 13.3641895
"VEBONO" "VEBONO082017" 2016-06-01 "022 BCV" "DPBS07993-0039" 2017-08-11 436 1 518586687 115.23 115.23 115.23 14.37 4 1.447083078
"VEBONO" "VEBONO042028" 2016-06-01 "022 BCV" "DPBS01632-0039" 2028-04-20 4341 1 4e+07 127.1 127.1 127.1 16.1 4 11.81770577
"TIF" "TIF022029" 2016-06-01 "022 BCV" "DPBS01632-0020" 2029-02-15 4642 1 39500000 114.7 114.7 114.7 15.5 4 13.09492884
"TIF" "TIF022030" 2016-06-01 "022 BCV" "DPBS01632-0048" 2030-02-28 5020 1 402486000 129.7 129.7 129.7 15.65 4 11.34653995
"VEBONO" "VEBONO032031" 2016-06-01 "022 BCV" "DPBS02207-0016" 2031-03-13 5398 1 4e+08 112.75 112.75 112.75 16.12 4 14.04596845
"TIF" "TIF032031" 2016-06-01 "022 BCV" "DPBS02207-0025" 2031-03-13 5398 1 616532390 111.83 111.83 111.83 15 4 13.15994019
"TIF" "TIF022032" 2016-06-01 "022 BCV" "DPBS02207-0043" 2032-02-19 5741 1 546947000 109.5 109.5 109.5 14.5 4 13.05675956
"VEBONO" "VEBONO062032" 2016-06-01 "022 BCV" "DPBS02207-0052" 2032-06-17 5860 1 193756000 105.85 105.85 105.85 15.1 4 14.15741993
"LETRA" "LTB092016" 2016-06-01 "022 BCV" "LTBS00916-0013" 2016-09-14 105 3 179740000 98.7524 99.0234 98.81030052 0 0 4.128081398
"TIF" "TIF042018" 2016-06-02 "022 BCV" "DPBS08773-0016" 2018-04-12 679 6 1471815804 120 120 120 18 4 6.472968028
"VEBONO" "VEBONO042019" 2016-06-02 "022 BCV" "DPBS08773-0025" 2019-04-18 1050 3 4.05e+08 122.75 122.75 122.75 15.2 4 6.45506541
"TIF" "TIF042019" 2016-06-02 "022 BCV" "DPBS08772-0026" 2019-04-18 1050 1 187080980 120.9919 120.9919 120.9919 16 4 7.76834354
"VEBONO" "VEBONO062020" 2016-06-02 "022 BCV" "DPBS08771-0027" 2020-06-18 1477 5 1043107581 120.3788 120.3788 120.3788 15.52 4 9.37931786
"TIF" "TIF022021" 2016-06-02 "022 BCV" "DPBS09345-0014" 2021-02-04 1708 2 177443030 127.6741 127.6741 127.6741 16.5 4 9.133676498
"VEBONO" "VEBONO032027" 2016-06-02 "022 BCV" "DPBS00760-0061" 2027-03-11 3934 2 1.14e+08 122 122 122 16.22 4 12.46532913
"TIF" "TIF032028" 2016-06-02 "022 BCV" "DPBS01632-0011" 2028-03-30 4319 1 7e+07 115.47 115.47 115.47 15.25 4 12.69040321
"VEBONO" "VEBONO042028" 2016-06-02 "022 BCV" "DPBS01632-0039" 2028-04-20 4340 1 77010000 128.6 128.6 128.6 16.1 4 11.62146763
"VEBONO" "VEBONO032031" 2016-06-02 "022 BCV" "DPBS02207-0016" 2031-03-13 5397 1 1e+08 108.2 108.2 108.2 16.12 4 14.73417423
"TIF" "TIF022032" 2016-06-02 "022 BCV" "DPBS02207-0043" 2032-02-19 5740 4 97260256 100.625 108.9687 106.3975839 14.5 4 13.50046027
"VEBONO" "VEBONO062032" 2016-06-02 "022 BCV" "DPBS02207-0052" 2032-06-17 5859 3 46513000 101 101.1089 101.0134289 15.1 4 14.91745167
"TIF" "TIF022032" 2016-06-03 "022 BCV" "DPBS02207-0043" 2032-02-19 5739 3 128196256 100.6563 109 107.3127107 14.5 4 13.36725998
"VEBONO" "VEBONO062032" 2016-06-03 "022 BCV" "DPBS02207-0052" 2032-06-17 5858 3 210469000 101.0313 109.0313 107.5562904 15.1 4 13.90290262
"VEBONO" "VEBONO012020" 2016-06-06 "022 BCV" "DPBS08771-0018" 2020-01-02 1305 1 3e+07 109 109 109 15.5 4 12.32787645
"VEBONO" "VEBONO052021" 2016-06-06 "022 BCV" "DPBS09115-0015" 2021-05-20 1809 1 2.8e+07 110 110 110 15.59 4 12.80816486
"VEBONO" "VEBONO012023" 2016-06-06 "022 BCV" "DPBS09345-0032" 2023-01-19 2418 2 6.5e+08 125.75 125.8125 125.78125 15.67 4 10.24661942
"TIF" "TIF022032" 2016-06-06 "022 BCV" "DPBS02207-0043" 2032-02-19 5736 3 520008000 108 109.75 109.5865141 14.5 4 13.0439892
"VEBONO" "VEBONO062032" 2016-06-06 "022 BCV" "DPBS02207-0052" 2032-06-17 5855 4 4.6e+08 109 110 109.2 15.1 4 13.66387895
"VEBONO" "VEBONO032019" 2016-06-07 "022 BCV" "DPBS08773-0043" 2019-03-28 1024 1 10592000 107.75 107.75 107.75 15.27 4 11.94094595
"VEBONO" "VEBONO012021" 2016-06-07 "022 BCV" "DPBS08772-0017" 2021-01-29 1697 1 42373000 110.5 110.5 110.5 15.65 4 12.61161043
"TIF" "TIF052028" 2016-06-07 "022 BCV" "DPBS00760-0043" 2028-05-25 4370 2 81600000 116 117 116.5 15.25 4 12.55304687
"TIF" "TIF032031" 2016-06-07 "022 BCV" "DPBS02207-0025" 2031-03-13 5392 2 375245610 112.8 113.35 113.0931413 15 4 12.98309969
"VEBONO" "VEBONO032031" 2016-06-07 "022 BCV" "DPBS02207-0016" 2031-03-13 5392 2 471645000 112.75 114 112.9398806 16.12 4 14.01811457
"TIF" "TIF022032" 2016-06-07 "022 BCV" "DPBS02207-0043" 2032-02-19 5735 2 190008000 108.5 109.75 109.4868006 14.5 4 13.05779239
"TIF" "TIF032032" 2016-06-07 "022 BCV" "DPBS02207-0034" 2032-03-25 5770 1 123039110 112.25 112.25 112.25 15.25 4 13.36391564
"VEBONO" "VEBONO032019" 2016-06-08 "022 BCV" "DPBS08773-0043" 2019-03-28 1023 1 10592000 107.7813 107.7813 107.7813 15.27 4 11.92573722
"VEBONO" "VEBONO012021" 2016-06-08 "022 BCV" "DPBS08772-0017" 2021-01-29 1696 2 75643487 110.5313 123.353 116.1707043 15.65 4 11.12649812
"TIF" "TIF042023" 2016-06-08 "022 BCV" "DPBS09345-0050" 2023-04-06 2493 1 31890000 127.75 127.75 127.75 16 4 10.28216027
"TIF" "TIF032031" 2016-06-08 "022 BCV" "DPBS02207-0025" 2031-03-13 5391 1 52056000 112.75 112.75 112.75 15 4 13.03075205
"TIF" "TIF022032" 2016-06-08 "022 BCV" "DPBS02207-0043" 2032-02-19 5734 3 7.2e+08 109.75 109.8125 109.78125 14.5 4 13.01657319
"VEBONO" "VEBONO062032" 2016-06-08 "022 BCV" "DPBS02207-0052" 2032-06-17 5853 1 68602000 109.45 109.45 109.45 15.1 4 13.62805266
"LETRA" "LTB092016" 2016-06-08 "022 BCV" "LTBS00916-0031" 2016-09-21 105 4 293946000 98.7386 99.0978 98.91498146 0 0 3.760869712
"VEBONO" "VEBONO042024" 2016-06-09 "022 BCV" "DPBS09347-0012" 2024-04-18 2870 2 38665850 119.9 121.75 120.825 15.92 4 11.80551033
"VEBONO" "VEBONO012025" 2016-06-09 "022 BCV" "DPBS00324-0018" 2025-01-09 3136 2 7e+07 128.7 130 129.35 16.2 4 10.88463589
"TIF" "TIF012026" 2016-06-09 "022 BCV" "DPBS00760-0034" 2026-01-08 3500 2 3e+07 126.2 127.5 126.85 15 4 10.51095169
"VEBONO" "VEBONO032027" 2016-06-09 "022 BCV" "DPBS00760-0061" 2027-03-11 3927 2 6e+07 122 125 123.5 16.22 4 12.24493253
"VEBONO" "VEBONO032031" 2016-06-09 "022 BCV" "DPBS02207-0016" 2031-03-13 5390 2 307724000 112.75 113.5 113.125 16.12 4 13.99110899
"TIF" "TIF022032" 2016-06-09 "022 BCV" "DPBS02207-0043" 2032-02-19 5733 4 90559000 100.625 106.25 103.1320134 14.5 4 13.99023263
"VEBONO" "VEBONO062032" 2016-06-09 "022 BCV" "DPBS02207-0052" 2032-06-17 5852 5 90198000 101 106.25 103.2999591 15.1 4 14.55123995
"TIF" "TIF022032" 2016-06-10 "022 BCV" "DPBS02207-0043" 2032-02-19 5732 1 39331000 100.6563 100.6563 100.6563 14.5 4 14.37931441
"VEBONO" "VEBONO062032" 2016-06-10 "022 BCV" "DPBS02207-0052" 2032-06-17 5851 3 57037000 101.0313 109 103.8200336 15.1 4 14.46975684
"TIF" "TIF082018" 2016-06-13 "022 BCV" "DPBS08773-0034" 2018-08-23 801 2 2e+08 121.5 121.5 121.5 16 4 5.499367884
"VEBONO" "VEBONO032031" 2016-06-13 "022 BCV" "DPBS02207-0016" 2031-03-13 5386 1 4e+08 112.76 112.76 112.76 16.12 4 14.04483674
"VEBONO" "VEBONO062032" 2016-06-13 "022 BCV" "DPBS02207-0052" 2032-06-17 5848 2 221008000 109 109.25 109.125 15.1 4 13.67479882
"TIF" "TIF012024" 2016-06-14 "022 BCV" "DPBS00324-0027" 2024-01-04 2760 1 2.5e+07 123.1 123.1 123.1 16.25 4 11.60615451
"VEBONO" "VEBONO032031" 2016-06-14 "022 BCV" "DPBS02207-0016" 2031-03-13 5385 1 403916050 111.25 111.25 111.25 16.12 4 14.26808431
"TIF" "TIF032031" 2016-06-14 "022 BCV" "DPBS02207-0025" 2031-03-13 5385 2 375245610 112.8 113.35 113.0931413 15 4 12.98313171
"TIF" "TIF032032" 2016-06-14 "022 BCV" "DPBS02207-0034" 2032-03-25 5763 1 123039110 112.25 112.25 112.25 15.25 4 13.36374629
"VEBONO" "VEBONO062032" 2016-06-14 "022 BCV" "DPBS02207-0052" 2032-06-17 5847 5 401012000 109.1 110 109.6207473 15.1 4 13.60375406
"TIF" "TIF082018" 2016-06-15 "022 BCV" "DPBS08773-0034" 2018-08-23 799 1 1.03e+08 121.5156 121.5156 121.5156 16 4 5.470194424
"TIF" "TIF032032" 2016-06-15 "022 BCV" "DPBS02207-0034" 2032-03-25 5762 1 49650000 112.25 112.25 112.25 15.25 4 13.36373066
"VEBONO" "VEBONO062032" 2016-06-15 "022 BCV" "DPBS02207-0052" 2032-06-17 5846 1 1e+08 109.35 109.35 109.35 15.1 4 13.642534
"LETRA" "LTB092016" 2016-06-15 "022 BCV" "LTBS00916-0040" 2016-09-28 105 3 2.25e+08 98.7074 98.7837 98.74783333 0 0 4.347581828
"LETRA" "LTB122016" 2016-06-15 "022 BCV" "LTBS01216-0017" 2016-12-14 182 4 230983000 97.326 97.7155 97.49626145 0 0 5.079630552
"TIF" "TIF032031" 2016-06-16 "022 BCV" "DPBS02207-0025" 2031-03-13 5383 1 175245610 112.8 112.8 112.8 15 4 13.02345761
"TIF" "TIF022032" 2016-06-16 "022 BCV" "DPBS02207-0043" 2032-02-19 5726 7 475640000 100.75 108.9687 105.1181029 14.5 4 13.68828252
"TIF" "TIF032032" 2016-06-16 "022 BCV" "DPBS02207-0034" 2032-03-25 5761 1 123039110 112.25 112.25 112.25 15.25 4 13.36371716
"VEBONO" "VEBONO062032" 2016-06-16 "022 BCV" "DPBS02207-0052" 2032-06-17 5845 6 272635000 100.95 108.75 105.4859664 15.1 4 14.21337554
"VEBONO" "VEBONO012020" 2016-06-17 "022 BCV" "DPBS08771-0018" 2020-01-02 1294 3 73994824 126.2426 128.97 127.6643021 15.5 4 6.652908968
"VEBONO" "VEBONO012025" 2016-06-17 "022 BCV" "DPBS00324-0018" 2025-01-09 3128 1 34525000 128.5 128.5 128.5 16.2 4 11.00724004
"TIF" "TIF012026" 2016-06-17 "022 BCV" "DPBS00760-0034" 2026-01-08 3492 2 172270000 126.82 126.88 126.85 15 4 10.50606065
"TIF" "TIF032028" 2016-06-17 "022 BCV" "DPBS01632-0011" 2028-03-30 4304 2 199566120 128.15 128.21 128.18 15.25 4 10.95073146
"TIF" "TIF052028" 2016-06-17 "022 BCV" "DPBS00760-0043" 2028-05-25 4360 2 1.39e+08 128.1 128.16 128.13 15.25 4 10.97969919
"TIF" "TIF022030" 2016-06-17 "022 BCV" "DPBS01632-0048" 2030-02-28 5004 2 123165466 129.72 129.78 129.75 15.65 4 11.33484883
"TIF" "TIF032031" 2016-06-17 "022 BCV" "DPBS02207-0025" 2031-03-13 5382 1 2e+08 113.35 113.35 113.35 15 4 12.94694706
"VEBONO" "VEBONO032031" 2016-06-17 "022 BCV" "DPBS02207-0016" 2031-03-13 5382 1 403916050 111.25 111.25 111.25 16.12 4 14.26745095
"TIF" "TIF022032" 2016-06-17 "022 BCV" "DPBS02207-0043" 2032-02-19 5725 5 381913000 100.7813 109.125 108.1532663 14.5 4 13.24501771
"VEBONO" "VEBONO062032" 2016-06-17 "022 BCV" "DPBS02207-0052" 2032-06-17 5844 2 149718000 100.9815 108.75 106.8246606 15.1 4 14.01215366
"LETRA" "LTB092016" 2016-06-17 "022 BCV" "LTBS00916-0040" 2016-09-28 103 1 17808000 98.6487 98.6487 98.6487 0 0 4.787686296
"VEBONO" "VEBONO012020" 2016-06-20 "022 BCV" "DPBS08771-0018" 2020-01-02 1291 2 3.9e+07 128.97 129.0325 129.00125 15.5 4 6.270579296
"TIF" "TIF012026" 2016-06-20 "022 BCV" "DPBS00760-0034" 2026-01-08 3489 3 518970000 126.85 126.9425 126.8703317 15 4 10.50137054
"TIF" "TIF032028" 2016-06-20 "022 BCV" "DPBS01632-0011" 2028-03-30 4301 2 199566120 128.21 128.2725 128.24125 15.25 4 10.94188403
"TIF" "TIF052028" 2016-06-20 "022 BCV" "DPBS00760-0043" 2028-05-25 4357 2 1.39e+08 128.16 128.2225 128.19125 15.25 4 10.97066398
"TIF" "TIF022030" 2016-06-20 "022 BCV" "DPBS01632-0048" 2030-02-28 5001 2 123165466 129.78 129.8425 129.81125 15.65 4 11.32656082
"VEBONO" "VEBONO032031" 2016-06-20 "022 BCV" "DPBS02207-0016" 2031-03-13 5379 1 7.5e+07 113.5157 113.5157 113.5157 16.12 4 13.93325712
"TIF" "TIF022032" 2016-06-20 "022 BCV" "DPBS02207-0043" 2032-02-19 5722 6 6.7e+08 108.6 110 109.2919776 14.5 4 13.08357419
"VEBONO" "VEBONO062032" 2016-06-20 "022 BCV" "DPBS02207-0052" 2032-06-17 5841 6 773655000 109.0157 109.85 109.2858527 15.1 4 13.65163912
"TIF" "TIF012026" 2016-06-21 "022 BCV" "DPBS00760-0034" 2026-01-08 3488 2 693400000 126.8813 126.9126 126.89695 15 4 10.49700171
"TIF" "TIF032029" 2016-06-21 "022 BCV" "DPBS00760-0052" 2029-03-01 4636 2 146686000 117.15 117.75 117.45 15.5 4 12.69939158
"VEBONO" "VEBONO032031" 2016-06-21 "022 BCV" "DPBS02207-0016" 2031-03-13 5378 1 7.5e+07 113.5313 113.5313 113.5313 16.12 4 13.93078547
"TIF" "TIF022032" 2016-06-21 "022 BCV" "DPBS02207-0043" 2032-02-19 5721 1 7e+07 109 109 109 14.5 4 13.12453646
"VEBONO" "VEBONO062032" 2016-06-21 "022 BCV" "DPBS02207-0052" 2032-06-17 5840 5 1264033000 103.75 109.2938 107.6466561 15.1 4 13.88977698
"VEBONO" "VEBONO062032" 2016-06-22 "022 BCV" "DPBS02207-0052" 2032-06-17 5839 1 365866000 103.7813 103.7813 103.7813 15.1 4 14.47595427
"LETRA" "LTB102016" 2016-06-22 "022 BCV" "LTBS01016-0037" 2016-10-05 105 2 1.5e+08 98.7141 98.7454 98.72975 0 0 4.411175818
"VEBONO" "VEBONO122017" 2016-06-23 "022 BCV" "DPBS07989-0036" 2017-12-08 533 1 50960000 113.5 113.5 113.5 14.33 4 4.676528621
"TIF" "TIF012026" 2016-06-23 "022 BCV" "DPBS00760-0034" 2026-01-08 3486 1 45172013 126.0014 126.0014 126.0014 15 4 10.62317489
"VEBONO" "VEBONO032031" 2016-06-23 "022 BCV" "DPBS02207-0016" 2031-03-13 5376 4 1.6e+08 112.75 113.547 113.4834938 16.12 4 13.9372951
"TIF" "TIF022032" 2016-06-23 "022 BCV" "DPBS02207-0043" 2032-02-19 5719 8 280336000 100.5 109.0157 105.9273644 14.5 4 13.56754792
"VEBONO" "VEBONO062032" 2016-06-23 "022 BCV" "DPBS02207-0052" 2032-06-17 5838 8 307907000 100.75 109.0313 106.3540515 15.1 4 14.08163843
"TIF" "TIF082018" 2016-06-27 "022 BCV" "DPBS08773-0034" 2018-08-23 787 1 9.7e+07 121.5313 121.5313 121.5313 16 4 5.326578723
"VEBONO" "VEBONO032019" 2016-06-27 "022 BCV" "DPBS08773-0043" 2019-03-28 1004 2 398640000 128.3049 128.3674 128.33615 15.27 4 4.271568628
"VEBONO" "VEBONO022022" 2016-06-27 "022 BCV" "DPBS09345-0023" 2022-02-10 2054 2 340300000 127.9236 127.9861 127.95485 15.35 4 8.946726308
"VEBONO" "VEBONO032031" 2016-06-27 "022 BCV" "DPBS02207-0016" 2031-03-13 5372 1 4e+08 112.7756 112.7756 112.7756 16.12 4 14.03963027
"TIF" "TIF022032" 2016-06-27 "022 BCV" "DPBS02207-0043" 2032-02-19 5715 1 155385000 101 101 101 14.5 4 14.32350077
"VEBONO" "VEBONO062032" 2016-06-27 "022 BCV" "DPBS02207-0052" 2032-06-17 5834 1 149649000 101 101 101 15.1 4 14.92013426
"VEBONO" "VEBONO082017" 2016-06-28 "022 BCV" "DPBS07993-0039" 2017-08-11 409 1 523640374 114.65 114.65 114.65 14.37 4 1.140389272
"TIF" "TIF042018" 2016-06-28 "022 BCV" "DPBS08773-0016" 2018-04-12 653 1 501815804 120 120 120 18 4 6.083416647
"TIF" "TIF082018" 2016-06-28 "022 BCV" "DPBS08773-0034" 2018-08-23 786 1 17450000 116.75 116.75 116.75 16 4 7.465791307
"VEBONO" "VEBONO032019" 2016-06-28 "022 BCV" "DPBS08773-0043" 2019-03-28 1003 2 398640000 128.3674 128.4299 128.39865 15.27 4 4.259983442
"TIF" "TIF042019" 2016-06-28 "022 BCV" "DPBS08772-0026" 2019-04-18 1024 1 395254980 121 121 121 16 4 7.597819261
"VEBONO" "VEBONO062020" 2016-06-28 "022 BCV" "DPBS08771-0027" 2020-06-18 1451 1 596235581 121 121 121 15.3 4 8.941444098
"VEBONO" "VEBONO012021" 2016-06-28 "022 BCV" "DPBS08772-0017" 2021-01-29 1676 1 9.5e+07 123.5 123.5 123.5 15.65 4 9.284818056
"TIF" "TIF022021" 2016-06-28 "022 BCV" "DPBS09345-0014" 2021-02-04 1682 1 94050949 127.67 127.67 127.67 16.5 4 9.054556012
"VEBONO" "VEBONO022022" 2016-06-28 "022 BCV" "DPBS09345-0023" 2022-02-10 2053 2 340300000 127.9861 128.0486 128.01735 15.35 4 8.932442427
"TIF" "TIF032022" 2016-06-28 "022 BCV" "DPBS09345-0041" 2022-03-03 2074 2 174287609 125.42 130.23 128.6489731 16 4 9.413376465
"TIF" "TIF042023" 2016-06-28 "022 BCV" "DPBS09345-0050" 2023-04-06 2473 1 44443499 127.75 127.75 127.75 16 4 10.25567956
"TIF" "TIF012024" 2016-06-28 "022 BCV" "DPBS00324-0027" 2024-01-04 2746 1 47067000 122 122 122 16.25 4 11.78740903
"TIF" "TIF022029" 2016-06-28 "022 BCV" "DPBS01632-0020" 2029-02-15 4615 2 977056966 120.1 120.1625 120.13125 15.5 4 12.32094935
"TIF" "TIF022032" 2016-06-28 "022 BCV" "DPBS02207-0043" 2032-02-19 5714 4 263421000 101.0313 108.5 102.1156148 14.5 4 14.14703461
"VEBONO" "VEBONO062032" 2016-06-28 "022 BCV" "DPBS02207-0052" 2032-06-17 5833 5 283762000 101.0313 109.5 103.1507027 15.1 4 14.57429394
"VEBONO" "VEBONO012021" 2016-06-29 "022 BCV" "DPBS08772-0017" 2021-01-29 1675 3 232373000 111.5 123.5938 121.3629552 15.65 4 9.794157352
"TIF" "TIF022021" 2016-06-29 "022 BCV" "DPBS09345-0014" 2021-02-04 1681 3 234744928 127.4979 127.7638 127.6859258 16.5 4 9.047796636
"TIF" "TIF032022" 2016-06-29 "022 BCV" "DPBS09345-0041" 2022-03-03 2073 2 114575218 125.4513 125.5138 125.48255 16 4 10.03871411
"TIF" "TIF012026" 2016-06-29 "022 BCV" "DPBS00760-0034" 2026-01-08 3480 1 5e+07 120 120 120 15 4 11.50796408
"TIF" "TIF032028" 2016-06-29 "022 BCV" "DPBS01632-0011" 2028-03-30 4292 2 98307000 115.47 125.5 118.3580874 15.25 4 12.26647054
"VEBONO" "VEBONO042028" 2016-06-29 "022 BCV" "DPBS01632-0039" 2028-04-20 4313 1 4e+07 127.1 127.1 127.1 16.1 4 11.80732258
"TIF" "TIF022029" 2016-06-29 "022 BCV" "DPBS01632-0020" 2029-02-15 4614 3 1016556966 114.7 120.225 119.9802813 15.5 4 12.3413199
"TIF" "TIF032029" 2016-06-29 "022 BCV" "DPBS00760-0052" 2029-03-01 4628 1 2e+07 112 112 112 15.5 4 13.49444496
"TIF" "TIF032031" 2016-06-29 "022 BCV" "DPBS02207-0025" 2031-03-13 5370 4 575245610 109.95 113.35 112.0090335 15 4 13.13181416
"VEBONO" "VEBONO032031" 2016-06-29 "022 BCV" "DPBS02207-0016" 2031-03-13 5370 1 403916050 111.25 111.25 111.25 16.12 4 14.26514362
"TIF" "TIF022032" 2016-06-29 "022 BCV" "DPBS02207-0043" 2032-02-19 5713 6 733908000 101.0626 108.85 107.8647606 14.5 4 13.28523403
"TIF" "TIF032032" 2016-06-29 "022 BCV" "DPBS02207-0034" 2032-03-25 5748 3 323039110 109.95 112.25 110.8415018 15.25 4 13.56122969
"VEBONO" "VEBONO062032" 2016-06-29 "022 BCV" "DPBS02207-0052" 2032-06-17 5832 6 755109000 101.0626 109.875 108.3670158 15.1 4 13.78313172
"LETRA" "LTB102016" 2016-06-29 "022 BCV" "LTBS01016-0028" 2016-10-12 105 2 1.5e+08 98.7141 98.7454 98.72975 0 0 4.411175818
"TIF" "TIF042018" 2016-06-30 "022 BCV" "DPBS08773-0016" 2018-04-12 651 5 5.05e+08 120 127.5 120.2970297 18 4 5.894246902
"VEBONO" "VEBONO032019" 2016-06-30 "022 BCV" "DPBS08773-0043" 2019-03-28 1001 1 66421000 129 129 129 15.04 4 3.844550155
"VEBONO" "VEBONO012020" 2016-06-30 "022 BCV" "DPBS08771-0018" 2020-01-02 1281 1 2.9e+07 114 114 114 15.5 4 10.64720118
"VEBONO" "VEBONO062020" 2016-06-30 "022 BCV" "DPBS08771-0027" 2020-06-18 1449 2 151500000 120.3788 126.25 120.4369307 15.3 4 9.086226907
"VEBONO" "VEBONO052021" 2016-06-30 "022 BCV" "DPBS09115-0015" 2021-05-20 1785 1 2.8e+07 117 117 117 15.59 4 11.0209976
"TIF" "TIF012024" 2016-06-30 "022 BCV" "DPBS00324-0027" 2024-01-04 2744 2 6e+07 118 119 118.5 16.25 4 12.41709038
"VEBONO" "VEBONO022024" 2016-06-30 "022 BCV" "DPBS00760-0025" 2024-02-22 2793 2 76308000 115.75 116.5 116.125 15.84 4 12.51256216
"VEBONO" "VEBONO012025" 2016-06-30 "022 BCV" "DPBS00324-0018" 2025-01-09 3115 1 3e+07 119 119 119 16.2 4 12.53133811
"TIF" "TIF012026" 2016-06-30 "022 BCV" "DPBS00760-0034" 2026-01-08 3479 2 83720000 110.25 111 110.625 15 4 13.02796093
"VEBONO" "VEBONO032027" 2016-06-30 "022 BCV" "DPBS00760-0061" 2027-03-11 3906 2 2e+08 118.5 118.5 118.5 16 4 12.78639153
"TIF" "TIF032028" 2016-06-30 "022 BCV" "DPBS01632-0011" 2028-03-30 4291 1 28307000 125.5313 125.5313 125.5313 15.25 4 11.28807156
"VEBONO" "VEBONO042028" 2016-06-30 "022 BCV" "DPBS01632-0039" 2028-04-20 4312 1 77010000 128.2567 128.2567 128.2567 16.1 4 11.65520642
"TIF" "TIF022030" 2016-06-30 "022 BCV" "DPBS01632-0048" 2030-02-28 4991 1 66120000 120.5 120.5 120.5 15.65 4 12.48899086
"VEBONO" "VEBONO032031" 2016-06-30 "022 BCV" "DPBS02207-0016" 2031-03-13 5369 3 2.05e+08 112.75 113 112.9695122 15.89 4 13.80274323
"TIF" "TIF022032" 2016-06-30 "022 BCV" "DPBS02207-0043" 2032-02-19 5712 10 910693000 100.5 108.9 106.7126507 14.5 4 13.45181746
"TIF" "TIF032032" 2016-06-30 "022 BCV" "DPBS02207-0034" 2032-03-25 5747 3 506008000 112 112.3 112.15 15.25 4 13.37705991
